Name,|V|,|E|,Simple Randomized,Simple Greedy,Semi-greedy,Simple local No. of iterations,Simple local Average value,GRASP No. of iterations,GRASP Best value,Known best solution or upper bound
G1,800,19176,9597.80,10996.00,11108.00,2,9672.00,3,11183.00,12078
G2,800,19176,9546.30,11046.00,11195.00,2,9554.00,3,11219.00,12084
G3,800,19176,9586.10,11084.00,11192.00,2,9569.00,3,11221.00,12077
G4,800,19176,9559.20,11097.00,11108.00,2,9744.00,3,11240.00,
G5,800,19176,9576.30,11042.00,11163.00,2,9657.00,3,11162.00,
G6,800,19176,67.50,1425.00,1588.00,2,122.00,3,1643.00,
G7,800,19176,-113.20,1372.00,1440.00,2,20.00,3,1479.00,
G8,800,19176,-76.30,1370.00,1456.00,2,15.00,3,1515.00,
G9,800,19176,-19.50,1414.00,1551.00,2,-83.00,3,1515.00,
G10,800,19176,-61.80,1385.00,1431.00,2,-14.00,3,1473.00,
G11,800,1600,8.40,434.00,418.00,2,16.00,3,430.00,627
G12,800,1600,6.40,418.00,424.00,2,26.00,3,406.00,621
G13,800,1600,16.60,432.00,390.00,2,-6.00,3,444.00,645
G14,800,4694,2363.60,2906.00,2946.00,2,2352.00,3,2959.00,3187
G15,800,4661,2344.00,2862.00,2916.00,2,2314.00,3,2924.00,3169
G16,800,4672,2344.00,2878.00,2916.00,2,2347.00,3,2943.00,3172
G17,800,4667,2326.10,2871.00,2919.00,2,2311.00,3,2931.00,
G18,800,4694,15.50,790.00,737.00,2,58.00,3,781.00,
G19,800,4661,-53.50,700.00,635.00,2,84.00,3,707.00,
G20,800,4672,-23.60,724.00,652.00,2,0.00,3,710.00,
G21,800,4667,-44.00,675.00,665.00,2,-12.00,3,702.00,
G22,2000,19990,9979.40,12335.00,12696.00,1,9994.00,1,12668.00,14123
G23,2000,19990,10035.50,12279.00,12623.00,1,9961.00,1,12691.00,14129
G24,2000,19990,10005.80,12375.00,12559.00,1,9927.00,1,12682.00,14131
G25,2000,19990,10000.00,12419.00,12743.00,1,10042.00,1,12675.00,
G26,2000,19990,9997.00,12306.00,12694.00,1,9910.00,1,12689.00,
G27,2000,19990,-17.90,2286.00,2456.00,1,24.00,1,2305.00,
G28,2000,19990,-39.30,2321.00,2332.00,1,-51.00,1,2320.00,
G29,2000,19990,36.40,2370.00,2514.00,1,-20.00,1,2463.00,
G30,2000,19990,58.40,2402.00,2414.00,1,106.00,1,2511.00,
G31,2000,19990,-46.40,2303.00,2361.00,1,31.00,1,2376.00,
G32,2000,4000,14.60,1058.00,1058.00,1,52.00,1,1060.00,1560
G33,2000,4000,-10.40,998.00,990.00,1,22.00,1,994.00,1537
G34,2000,4000,-29.20,988.00,1000.00,1,-36.00,1,1002.00,1541
G35,2000,11778,5877.70,7222.00,7359.00,1,5897.00,1,7374.00,8000
G36,2000,11766,5886.90,7226.00,7349.00,1,5990.00,1,7383.00,7996
G37,2000,11785,5910.60,7255.00,7368.00,1,5899.00,1,7355.00,8009
G38,2000,11779,5938.00,7261.00,7348.00,1,5891.00,1,7356.00,
G39,2000,11778,13.20,1874.00,1673.00,1,53.00,1,1784.00,
G40,2000,11766,-35.40,1802.00,1807.00,1,-1.00,1,1737.00,
G41,2000,11785,-18.10,1876.00,1779.00,1,-123.00,1,1748.00,
G42,2000,11779,51.70,1876.00,1736.00,1,93.00,1,1835.00,
G43,1000,9990,4998.00,6188.00,6319.00,2,4993.00,3,6346.00,7027
G44,1000,9990,5004.70,6184.00,6335.00,2,5014.00,3,6330.00,7022
G45,1000,9990,4996.30,6195.00,6268.00,2,5051.00,3,6338.00,7020
G46,1000,9990,5000.80,6212.00,6345.00,2,4960.00,3,6377.00,
G47,1000,9990,5003.40,6214.00,6276.00,2,5061.00,3,6354.00,
G48,3000,6000,3013.60,6000.00,6000.00,1,2982.00,1,6000.00,6000
G49,3000,6000,2993.40,6000.00,6000.00,1,3010.00,1,6000.00,6000
G50,3000,6000,2995.40,5880.00,5862.00,1,3000.00,1,5860.00,5988
G51,1000,5909,2961.00,3633.00,3689.00,2,3002.00,3,3693.00,
G52,1000,5916,2942.10,3672.00,3685.00,2,3004.00,3,3711.00,
G53,1000,5914,2971.60,3627.00,3692.00,2,2978.00,3,3711.00,
G54,1000,5916,2965.40,3619.00,3704.00,2,2933.00,3,3721.00,
